frame,x_coord,y_coord
0,78,50
1,78,50
2,79,52
3,78,55
4,77,57
5,77,59
6,76,60
7,75,62
8,75,65
9,73,66
10,74,70
11,68,68
12,71,73
13,66,72
14,66,75
15,63,75
16,63,76
17,61,78
18,57,77
19,57,79
20,55,80
21,54,81
22,50,78
23,49,79
24,46,77
25,45,78
26,43,78
27,40,76
28,40,78
29,37,74
30,37,77
31,35,76
32,29,72
33,30,72
34,28,69
35,27,69
36,25,67
37,25,66
38,25,63
39,23,61
41,22,58
43,19,52
44,20,52
45,21,50
46,21,48
47,20,46
48,21,44
49,20,41
50,25,42
51,23,38
52,25,37
53,24,33
54,26,32
55,27,30
56,28,29
57,30,27
58,32,26
59,34,26
60,36,24
61,37,22
62,40,24
63,42,22
64,43,21
66,48,22
67,50,21
68,49,20
69,51,20
70,55,20
71,55,19
72,58,21
73,62,24
74,62,22
75,65,25
76,66,25
77,67,25
79,69,28
80,72,31
82,74,34
83,76,35
84,75,37
85,76,39
86,78,42
88,79,46
89,66,44
91,77,51
92,79,52
93,79,56
94,77,54
95,77,57
96,76,58
97,74,59
98,74,60
99,74,61
100,74,64
101,68,60
102,70,64
104,67,63
105,64,61
106,63,63
107,62,61
108,58,61
109,56,60
110,56,60
111,53,60
112,49,56
113,49,57
114,46,53
115,44,54
116,42,53
117,42,51
118,39,53
119,36,49
121,35,50
122,30,46
123,30,47
124,28,48
125,26,46
126,25,46
128,24,48
129,24,47
130,22,46
132,20,48
133,20,47
134,21,50
135,21,49
136,20,51
137,20,51
138,21,52
139,21,54
140,25,59
141,23,58
142,25,61
143,23,60
144,26,64
145,27,65
146,29,67
147,30,69
148,32,71
149,35,74
150,36,75
151,36,75
152,41,81
153,42,82
154,43,81
155,44,83
156,48,87
157,50,87
158,50,87
159,52,87
160,55,89
161,55,87
162,58,89
163,61,89
164,62,89
165,64,89
166,66,86
167,67,85
169,69,81
170,72,81
171,74,79
172,75,77
173,76,73
174,76,69
175,77,68
176,79,65
177,79,61
178,79,56
180,79,49
181,77,51
182,77,52
183,76,56
184,73,57
185,73,59
186,70,61
188,68,65
189,67,67
190,66,69
191,61,68
192,63,72
193,59,71
194,58,75
195,56,74
196,56,76
197,55,78
199,52,79
200,52,80
201,52,80
202,50,78
204,49,78
205,48,78
206,49,77
207,49,77
208,50,76
209,50,76
210,51,78
211,51,76
212,50,71
213,52,71
214,52,70
215,53,68
216,54,66
217,57,67
218,57,64
219,58,61
220,59,58
222,61,56
223,61,52
224,63,52
225,65,49
226,65,49
227,65,46
229,66,40
230,71,42
231,69,38
232,70,37
233,68,33
234,69,33
235,67,31
236,68,29
237,67,27
238,66,26
239,67,26
240,65,24
241,60,21
242,62,23
243,61,22
244,57,20
245,54,21
246,55,22
247,50,21
248,48,19
249,45,20
250,43,21
251,38,19
252,37,22
253,50,31
254,31,23
256,25,25
257,20,25
258,20,30
259,14,27
261,8,34
262,5,35
266,97,42
267,95,44
268,93,45
269,93,49
